rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
rank: 3,son igor,kaz,"born: nov 16, 1998",b.weight: 60.25,group: a,snatch: 131,ci&jerk: 163,total: 294,,61kgmen,total,XXXII OLYMPIC GAMES
rank: 4,itokazu yoichi,jpn,"born: may 24, 1991",b.weight: 60.85,group: a,snatch: 133,ci&jerk: 159,total: 292,,61kgmen,total,XXXII OLYMPIC GAMES
rank: 5,alsaleem seraj abdulrahim m,ksa,"born: feb 10, 1996",b.weight: 60.90,group: a,snatch: 129,ci&jerk: 159,total: 288,,61kgmen,total,XXXII OLYMPIC GAMES
rank: 6,ruiu davide,ita,"born: jun 22, 2001",b.weight: 60.90,group: a,snatch: 127,ci&jerk: 159,total: 286,,61kgmen,total,XXXII OLYMPIC GAMES
rank: 7,mishvelidze shota,geo,"born: oct 18, 1994",b.weight: 60.95,group: a,snatch: 130,ci&jerk: 155,total: 285,,61kgmen,total,XXXII OLYMPIC GAMES
rank: 8,garcia brito luis alberto,dom,"born: apr 19, 1995",b.weight: 60.95,group: b,snatch: 120,ci&jerk: 154,total: 274,,61kgmen,total,XXXII OLYMPIC GAMES
rank: 9,brandhuber simon josef,ger,"born: jun 27, 1991",b.weight: 61.00,group: b,snatch: 123,ci&jerk: 145,total: 268,,61kgmen,total,XXXII OLYMPIC GAMES
rank: 10,baru morea,png,"born: apr 15, 1990",b.weight: 61.00,group: b,snatch: 118,ci&jerk: 147,total: 265,,61kgmen,total,XXXII OLYMPIC GAMES
rank: 11,andriantsitohaina eric herman,mad,"born: jul 21, 1991",b.weight: 60.10,group: b,snatch: 114,ci&jerk: 150,total: 264,,61kgmen,total,XXXII OLYMPIC GAMES
rank: 12,rojas concha marcos antonio,per,"born: jun 02, 1995",b.weight: 60.90,group: b,snatch: 105,ci&jerk: 135,total: 240,,61kgmen,total,XXXII OLYMPIC GAMES
rank: ---,thach kim tuan,vie,"born: jan 15, 1994",b.weight: 60.80,group: a,snatch: 126,ci&jerk: ---,total: ---,,61kgmen,total,XXXII OLYMPIC GAMES
rank: ---,kao chan-hung,tpe,"born: oct 03, 1993",b.weight: 60.70,group: a,snatch: 125,ci&jerk: ---,total: ---,,61kgmen,total,XXXII OLYMPIC GAMES
rank: 1,mosquera lozano luis javier,col,"born: mar 27, 1995",b.weight: 66.85,group: a,1: 148,2: -151,3: 151,total: 151,67kgmen,snatch,XXXII OLYMPIC GAMES
rank: 2,talib talha,pak,"born: oct 03, 1999",b.weight: 66.95,group: a,1: 144,2: 147,3: 150,total: 150,67kgmen,snatch,XXXII OLYMPIC GAMES
rank: 3,han myeongmok,kor,"born: feb 01, 1991",b.weight: 66.90,group: a,1: 142,2: 147,3: -149,total: 147,67kgmen,snatch,XXXII OLYMPIC GAMES
rank: 4,chen lijun,chn,"born: feb 08, 1993",b.weight: 66.85,group: a,1: 145,2: -150,3: -151,total: 145,67kgmen,snatch,XXXII OLYMPIC GAMES
rank: 5,zanni mirko,ita,"born: oct 16, 1997",b.weight: 66.95,group: a,1: 145,2: -150,3: -150,total: 145,67kgmen,snatch,XXXII OLYMPIC GAMES
rank: 6,ozbek m. furkan,tur,"born: jan 24, 2001",b.weight: 66.70,group: a,1: 142,2: -145,3: -145,total: 142,67kgmen,snatch,XXXII OLYMPIC GAMES
rank: 7,ergashev adkhamjon,uzb,"born: mar 12, 1999",b.weight: 67.00,group: a,1: -139,2: 139,3: -144,total: 139,67kgmen,snatch,XXXII OLYMPIC GAMES
rank: 8,munoz martinez jonathan antonio,mex,"born: nov 10, 1995",b.weight: 66.85,group: b,1: 135,2: -139,3: -139,total: 135,67kgmen,snatch,XXXII OLYMPIC GAMES
rank: 9,deni,ina,"born: jul 26, 1989",b.weight: 66.75,group: a,1: -135,2: 135,3: -140,total: 135,67kgmen,snatch,XXXII OLYMPIC GAMES
rank: 10,konnai mitsunori,jpn,"born: mar 14, 1996",b.weight: 66.95,group: a,1: -135,2: -135,3: 135,total: 135,67kgmen,snatch,XXXII OLYMPIC GAMES
rank: 11,kingue matam bernardin ledoux,fra,"born: may 20, 1990",b.weight: 66.95,group: a,1: 132,2: 135,3: -138,total: 135,67kgmen,snatch,XXXII OLYMPIC GAMES
rank: 12,chkheidze goga,geo,"born: feb 11, 1996",b.weight: 66.95,group: b,1: -133,2: 133,3: -138,total: 133,67kgmen,snatch,XXXII OLYMPIC GAMES
rank: 13,andriatsitohaina tojonirina alain,mad,"born: feb 26, 1995",b.weight: 66.00,group: b,1: -130,2: 130,3: -138,total: 130,67kgmen,snatch,XXXII OLYMPIC GAMES
rank: 14,katoatau ruben,kir,"born: feb 09, 1997",b.weight: 67.00,group: b,1: 105,2: -110,3: -110,total: 105,67kgmen,snatch,XXXII OLYMPIC GAMES
rank: 1,chen lijun,chn,"born: feb 08, 1993",b.weight: 66.85,group: a,1: 175,2: 187,3: -188,total: 187,67kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 2,mosquera lozano luis javier,col,"born: mar 27, 1995",b.weight: 66.85,group: a,1: 175,2: -180,3: 180,total: 180,67kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 3,zanni mirko,ita,"born: oct 16, 1997",b.weight: 66.95,group: a,1: -172,2: -177,3: 177,total: 177,67kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 4,han myeongmok,kor,"born: feb 01, 1991",b.weight: 66.90,group: a,1: 167,2: -174,3: 174,total: 174,67kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 5,ergashev adkhamjon,uzb,"born: mar 12, 1999",b.weight: 67.00,group: a,1: 173,2: -184,3: -184,total: 173,67kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 6,konnai mitsunori,jpn,"born: mar 14, 1996",b.weight: 66.95,group: a,1: 165,2: 172,3: -178,total: 172,67kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 7,talib talha,pak,"born: oct 03, 1999",b.weight: 66.95,group: a,1: -166,2: 166,3: 170,total: 170,67kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 8,chkheidze goga,geo,"born: feb 11, 1996",b.weight: 66.95,group: b,1: 164,2: 169,3: -173,total: 169,67kgmen,cleanjerk,XXXII OLYMPIC GAMES
rank: 9,deni,ina,"born: jul 26, 1989",b.weight: 66.75,group: a,1: 166,2: -171,3: -171,total: 166,67kgmen,cleanjerk,XXXII OLYMPIC GAMES
