rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: ---,URREGO MEDINA Kevin Andres,COL,"Born: Jan 17, 1997",B.weight: 56.00,Group: A,Snatch: ---,CI&Jerk: ---,Total: ---,,56kgMen,Total,400
Rank: 1,VAZQUEZ MENDEZ Antonio,MEX,"Born: Aug 12, 1993",B.weight: 61.85,Group: A,1: 121,2: 123,3: -126,Total: 123,62kgMen,Snatch,400
Rank: 2,PIRON CANDELARIO Jhon Augusto,DOM,"Born: Apr 12, 1996",B.weight: 61.80,Group: A,1: 115,2: 120,3: 122,Total: 122,62kgMen,Snatch,400
Rank: 3,MONTES GONGORA Jose Lino,MEX,"Born: Apr 18, 1989",B.weight: 62.00,Group: A,1: 116,2: 121,3: -125,Total: 121,62kgMen,Snatch,400
Rank: 4,VILLAREAL Dariel,CUB,"Born: Feb 28, 1994",B.weight: 61.30,Group: A,1: -115,2: 115,3: 121,Total: 121,62kgMen,Snatch,400
Rank: 5,PINEDA ZETA Edgar Ismael,GUA,"Born: Aug 17, 1997",B.weight: 61.30,Group: A,1: 112,2: 117,3: -121,Total: 117,62kgMen,Snatch,400
Rank: 6,CARRASCO VALDEZ Jefri Miguel,DOM,"Born: Nov 15, 1995",B.weight: 61.25,Group: A,1: -112,2: -112,3: 112,Total: 112,62kgMen,Snatch,400
Rank: 7,ALARCON ALFRED Simon,NCA,"Born: Sep 27, 1995",B.weight: 61.25,Group: A,1: 97,2: -103,3: 103,Total: 103,62kgMen,Snatch,400
Rank: 8,VILLANUEVA MOLINA Axiel,PUR,"Born: Sep 15, 1996",B.weight: 60.25,Group: A,1: 97,2: 102,3: -105,Total: 102,62kgMen,Snatch,400
Rank: 9,RAPALO ROMERO Marco Antonio,HON,"Born: Dec 02, 1990",B.weight: 60.25,Group: A,1: 95,2: 98,3: 101,Total: 101,62kgMen,Snatch,400
Rank: 10,CUEVAS ARCIA Dario Isael,PAN,"Born: Apr 21, 1996",B.weight: 61.65,Group: A,1: -95,2: 95,3: 99,Total: 99,62kgMen,Snatch,400
Rank: 11,ROJAS BRIONES Kevin Yorjanny,CRC,"Born: Mar 28, 1996",B.weight: 60.80,Group: A,1: -90,2: 90,3: -91,Total: 90,62kgMen,Snatch,400
Rank: 12,RAUDA Angel Daniel,ESA,"Born: Mar 31, 1999",B.weight: 61.30,Group: A,1: 85,2: -90,3: -90,Total: 85,62kgMen,Snatch,400
Rank: 1,VAZQUEZ MENDEZ Antonio,MEX,"Born: Aug 12, 1993",B.weight: 61.85,Group: A,1: 160,2: 165,3: -170,Total: 165,62kgMen,CleanJerk,400
Rank: 2,MONTES GONGORA Jose Lino,MEX,"Born: Apr 18, 1989",B.weight: 62.00,Group: A,1: 156,2: 162,3: -168,Total: 162,62kgMen,CleanJerk,400
Rank: 3,PINEDA ZETA Edgar Ismael,GUA,"Born: Aug 17, 1997",B.weight: 61.30,Group: A,1: 150,2: 155,3: -160,Total: 155,62kgMen,CleanJerk,400
Rank: 4,PIRON CANDELARIO Jhon Augusto,DOM,"Born: Apr 12, 1996",B.weight: 61.80,Group: A,1: 143,2: 148,3: -151,Total: 148,62kgMen,CleanJerk,400
Rank: 5,CARRASCO VALDEZ Jefri Miguel,DOM,"Born: Nov 15, 1995",B.weight: 61.25,Group: A,1: 140,2: 145,3: ---,Total: 145,62kgMen,CleanJerk,400
Rank: 6,VILLAREAL Dariel,CUB,"Born: Feb 28, 1994",B.weight: 61.30,Group: A,1: 142,2: -147,3: -147,Total: 142,62kgMen,CleanJerk,400
