rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
4,TUBAL Maraj S.Omer,LBA,"Jan 10, 1994",71.70,A,150,157,-162,157,73kgMen,CleanJerk,445,False
5,ILHAN Ramazan,TUR,"Dec 20, 1998",69.65,A,150,-155,-157,150,73kgMen,CleanJerk,445,False
1,IBRAHIM Moustafa Wahid Shaaban,EGY,"Dec 01, 1996",73.00,A,141,185,326,,73kgMen,Total,445,False
2,OKYAY Ahmet Turan,TUR,"May 06, 1996",72.60,A,140,163,303,,73kgMen,Total,445,False
3,HAMEED Mohammed Qaddoori Hameed,IRQ,"May 30, 1994",73.00,A,132,164,296,,73kgMen,Total,445,False
4,TUBAL Maraj S.Omer,LBA,"Jan 10, 1994",71.70,A,130,157,287,,73kgMen,Total,445,False
5,ILHAN Ramazan,TUR,"Dec 20, 1998",69.65,A,131,150,281,,73kgMen,Total,445,False
1,MAHMOUD Mohamed Ihab Youssef Ahmed,EGY,"Nov 21, 1989",80.90,A,160,165,-170,165,81kgMen,Snatch,445,False
2,BAHLOUL Ramzi,TUN,"Oct 18, 1989",80.35,A,135,141,146,146,81kgMen,Snatch,445,False
3,AHMED Adel Elsaed,EGY,"Jan 01, 1997",80.85,A,-140,140,145,145,81kgMen,Snatch,445,False
4,MOHAMED Said Mohamed El G,SYR,"Jan 01, 1992",79.45,A,130,135,140,140,81kgMen,Snatch,445,False
5,ALI Haider,PAK,"Feb 02, 1995",78.70,A,-128,129,133,133,81kgMen,Snatch,445,False
6,YUKSEL Batu Han,TUR,"Oct 04, 1999",76.20,A,-127,128,132,132,81kgMen,Snatch,445,False
1,MAHMOUD Mohamed Ihab Youssef Ahmed,EGY,"Nov 21, 1989",80.90,A,191,-203,-207,191,81kgMen,CleanJerk,445,False
2,AHMED Adel Elsaed,EGY,"Jan 01, 1997",80.85,A,175,185,-190,185,81kgMen,CleanJerk,445,False
3,BAHLOUL Ramzi,TUN,"Oct 18, 1989",80.35,A,167,176,-186,176,81kgMen,CleanJerk,445,False
4,ALI Haider,PAK,"Feb 02, 1995",78.70,A,166,171,-177,171,81kgMen,CleanJerk,445,False
5,MOHAMED Said Mohamed El G,SYR,"Jan 01, 1992",79.45,A,165,170,-175,170,81kgMen,CleanJerk,445,False
6,YUKSEL Batu Han,TUR,"Oct 04, 1999",76.20,A,153,160,-164,160,81kgMen,CleanJerk,445,False
1,MAHMOUD Mohamed Ihab Youssef Ahmed,EGY,"Nov 21, 1989",80.90,A,165,191,356,,81kgMen,Total,445,False
2,AHMED Adel Elsaed,EGY,"Jan 01, 1997",80.85,A,145,185,330,,81kgMen,Total,445,False
3,BAHLOUL Ramzi,TUN,"Oct 18, 1989",80.35,A,146,176,322,,81kgMen,Total,445,False
4,MOHAMED Said Mohamed El G,SYR,"Jan 01, 1992",79.45,A,140,170,310,,81kgMen,Total,445,False
5,ALI Haider,PAK,"Feb 02, 1995",78.70,A,133,171,304,,81kgMen,Total,445,False
6,YUKSEL Batu Han,TUR,"Oct 04, 1999",76.20,A,132,160,292,,81kgMen,Total,445,False
1,ALI Ahmed Sayed Ashour,EGY,"Jan 10, 1999",88.45,A,155,161,-165,161,89kgMen,Snatch,445,False
2,AL-HASHIMI Raad Ameen Yasir,IRQ,"Nov 01, 1990",89.00,A,-150,150,160,160,89kgMen,Snatch,445,False
3,YAKUT Esref,TUR,"Jun 06, 2000",88.40,A,135,138,141,141,89kgMen,Snatch,445,False
1,ALI Ahmed Sayed Ashour,EGY,"Jan 10, 1999",88.45,A,185,195,-200,195,89kgMen,CleanJerk,445,False
2,AL-HASHIMI Raad Ameen Yasir,IRQ,"Nov 01, 1990",89.00,A,187,-197,-197,187,89kgMen,CleanJerk,445,False
3,YAKUT Esref,TUR,"Jun 06, 2000",88.40,A,165,169,171,171,89kgMen,CleanJerk,445,False
1,ALI Ahmed Sayed Ashour,EGY,"Jan 10, 1999",88.45,A,161,195,356,,89kgMen,Total,445,False
2,AL-HASHIMI Raad Ameen Yasir,IRQ,"Nov 01, 1990",89.00,A,160,187,347,,89kgMen,Total,445,False
3,YAKUT Esref,TUR,"Jun 06, 2000",88.40,A,141,171,312,,89kgMen,Total,445,False
1,ABDALLA Ragab Abdelhay Saad A.,EGY,"Mar 04, 1991",95.80,A,157,-162,163,163,96kgMen,Snatch,445,False
2,MOHAMED Mahmoud Silem,EGY,"Jan 01, 1997",94.85,A,150,159,-164,159,96kgMen,Snatch,445,False
3,ARAT Ibrahim,TUR,"Dec 02, 1988",95.50,A,151,155,158,158,96kgMen,Snatch,445,False
4,BOONLANG Weeraphat,THA,"Mar 23, 1997",93.60,A,141,151,-156,151,96kgMen,Snatch,445,False
5,NABIYEV Nailkhan,AZE,"Nov 24, 1994",94.40,A,138,-145,146,146,96kgMen,Snatch,445,False
6,ISMAYILOV Kamran,AZE,"Apr 09, 1993",95.40,A,135,140,145,145,96kgMen,Snatch,445,False
