rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event
Rank: 2,ABDULRAMMAN Alenezi,KUW,"Born: Nov 30, 1995",B.weight: 61.95,Group: A,Snatch: 90,CI&Jerk: 112,Total: 202,,62kgMen,Total,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 3,KHAKBERDIEV Abdukhakim,TJK,"Born: Aug 22, 1998",B.weight: 60.50,Group: A,Snatch: 90,CI&Jerk: 111,Total: 201,,62kgMen,Total,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: ---,SINGHA Shimul Kanti,BAN,"Born: May 01, 1986",B.weight: 62.00,Group: A,Snatch: ---,CI&Jerk: 120,Total: ---,,62kgMen,Total,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: ---,ANDRIATSITOHAINA Tojonirina Alain,MAD,"Born: Feb 26, 1995",B.weight: 61.65,Group: A,Snatch: 111,CI&Jerk: ---,Total: ---,,62kgMen,Total,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 1,FENG Lyudong,CHN,"Born: Oct 23, 1991",B.weight: 68.70,Group: A,1: 135,2: 145,3: 155,Total: 155,69kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 2,HUDAYBERGENOV Tolkunbek,TKM,"Born: Jan 04, 1986",B.weight: 69.00,Group: A,1: 121,2: 129,3: -133,Total: 129,69kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 3,HAMEED Mohammed Qaddoori Hameed,IRQ,"Born: May 30, 1994",B.weight: 68.40,Group: A,1: 120,2: 128,3: -132,Total: 128,69kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 4,LEE Hyeongseop,KOR,"Born: Aug 27, 1988",B.weight: 68.82,Group: A,1: 120,2: 128,3: -132,Total: 128,69kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 5,SHUKUROV Ilkhomjon,TJK,"Born: Aug 03, 1987",B.weight: 68.90,Group: A,1: -105,2: -105,3: 105,Total: 105,69kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 6,SEDIQI Kh Ahmad Elyas,AFG,"Born: Sep 22, 1998",B.weight: 69.00,Group: A,1: 95,2: -100,3: -100,Total: 95,69kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 7,KHAN AQA Abdullah,AFG,"Born: Jan 21, 1992",B.weight: 68.86,Group: A,1: -86,2: 86,3: 90,Total: 90,69kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 8,ABDULRAHMAN Alkandari,KUW,"Born: Sep 21, 1996",B.weight: 64.50,Group: A,1: 80,2: 85,3: -87,Total: 85,69kgMen,Snatch,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 1,FENG Lyudong,CHN,"Born: Oct 23, 1991",B.weight: 68.70,Group: A,1: 170,2: 180,3: -188,Total: 180,69kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 2,HUDAYBERGENOV Tolkunbek,TKM,"Born: Jan 04, 1986",B.weight: 69.00,Group: A,1: 161,2: -165,3: 165,Total: 165,69kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 3,LEE Hyeongseop,KOR,"Born: Aug 27, 1988",B.weight: 68.82,Group: A,1: -162,2: 163,3: -165,Total: 163,69kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 4,HAMEED Mohammed Qaddoori Hameed,IRQ,"Born: May 30, 1994",B.weight: 68.40,Group: A,1: 140,2: -150,3: -152,Total: 140,69kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 5,SHUKUROV Ilkhomjon,TJK,"Born: Aug 03, 1987",B.weight: 68.90,Group: A,1: 130,2: -135,3: -135,Total: 130,69kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 6,SEDIQI Kh Ahmad Elyas,AFG,"Born: Sep 22, 1998",B.weight: 69.00,Group: A,1: 115,2: 122,3: -126,Total: 122,69kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 7,ABDULRAHMAN Alkandari,KUW,"Born: Sep 21, 1996",B.weight: 64.50,Group: A,1: -100,2: 100,3: 105,Total: 105,69kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 8,KHAN AQA Abdullah,AFG,"Born: Jan 21, 1992",B.weight: 68.86,Group: A,1: -105,2: 105,3: -110,Total: 105,69kgMen,CleanJerk,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 1,FENG Lyudong,CHN,"Born: Oct 23, 1991",B.weight: 68.70,Group: A,Snatch: 155,CI&Jerk: 180,Total: 335,,69kgMen,Total,1st AFRO-ASIAN CHAMPIONSHIPS
Rank: 2,HUDAYBERGENOV Tolkunbek,TKM,"Born: Jan 04, 1986",B.weight: 69.00,Group: A,Snatch: 129,CI&Jerk: 165,Total: 294,,69kgMen,Total,1st AFRO-ASIAN CHAMPIONSHIPS
