rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
8,MIFSUD Yannick Maurice,AUS,"Oct 10, 1989",72.45,A,-135,-135,135,135,73kgMen,CleanJerk,456,False
---,WU Joshua Luke James Vain Kyang,AUS,"Nov 14, 1996",71.90,A,---,---,---,---,73kgMen,CleanJerk,456,False
1,CHEN Oleg,RUS,"Nov 22, 1988",71.95,A,145,160,305,,73kgMen,Total,456,False
2,VIZITIU Daniel-Florin,ROU,"Jan 30, 1996",70.65,A,136,163,299,,73kgMen,Total,456,False
3,WAKELING Brandon Dean,AUS,"Feb 02, 1994",72.46,A,122,165,287,,73kgMen,Total,456,False
4,TABAROUA Taretiita Baraniko,KIR,"Nov 29, 1994",72.85,A,125,160,285,,73kgMen,Total,456,False
5,ALIKLIK Ika,NRU,"Sep 16, 1985",71.45,A,123,149,272,,73kgMen,Total,456,False
6,DOGUAPE Larko,NRU,"Jul 05, 2000",70.55,A,120,150,270,,73kgMen,Total,456,False
7,DELANEY James Joseph,AUS,"Jul 29, 1996",71.05,A,110,142,252,,73kgMen,Total,456,False
8,MIFSUD Yannick Maurice,AUS,"Oct 10, 1989",72.45,A,114,135,249,,73kgMen,Total,456,False
---,WU Joshua Luke James Vain Kyang,AUS,"Nov 14, 1996",71.90,A,---,---,---,,73kgMen,Total,456,False
1,MCTAGGART Cameron David,NZL,"Sep 30, 1997",80.90,A,131,136,-141,136,81kgMen,Snatch,456,False
2,LARK Leo Wing Thai,AUS,"May 13, 1996",78.55,A,126,-129,-130,126,81kgMen,Snatch,456,False
3,BOB Kabuati Silas,MHL,"Oct 19, 1994",80.30,A,120,125,-128,125,81kgMen,Snatch,456,False
4,SUKKAR Chevy Paul,AUS,"Jan 26, 1992",80.55,A,-124,125,-130,125,81kgMen,Snatch,456,False
5,ELLIOTT Frank Donald,AUS,"May 08, 1991",80.55,A,120,-125,-125,120,81kgMen,Snatch,456,False
6,HOWIE Jackson Oliver,AUS,"Aug 06, 1998",78.65,A,114,-119,120,120,81kgMen,Snatch,456,False
7,DETUDAMO Uea,NRU,"Dec 16, 1999",74.50,A,105,110,115,115,81kgMen,Snatch,456,False
8,NORMAN James Sahutta,AUS,"Jun 29, 1996",80.40,A,112,-117,-117,112,81kgMen,Snatch,456,False
9,LIM Kang Yin,SGP,"Nov 29, 1996",80.05,A,105,110,-115,110,81kgMen,Snatch,456,False
10,JANSSON Samuel,AUS,"Mar 12, 1994",80.90,A,-105,105,-110,105,81kgMen,Snatch,456,False
1,MCTAGGART Cameron David,NZL,"Sep 30, 1997",80.90,A,160,165,-169,165,81kgMen,CleanJerk,456,False
2,SUKKAR Chevy Paul,AUS,"Jan 26, 1992",80.55,A,150,155,-158,155,81kgMen,CleanJerk,456,False
3,HOWIE Jackson Oliver,AUS,"Aug 06, 1998",78.65,A,138,144,-150,144,81kgMen,CleanJerk,456,False
4,DETUDAMO Uea,NRU,"Dec 16, 1999",74.50,A,136,-140,144,144,81kgMen,CleanJerk,456,False
5,NORMAN James Sahutta,AUS,"Jun 29, 1996",80.40,A,138,143,-148,143,81kgMen,CleanJerk,456,False
6,JANSSON Samuel,AUS,"Mar 12, 1994",80.90,A,140,-146,-146,140,81kgMen,CleanJerk,456,False
7,ELLIOTT Frank Donald,AUS,"May 08, 1991",80.55,A,-140,140,-150,140,81kgMen,CleanJerk,456,False
8,LIM Kang Yin,SGP,"Nov 29, 1996",80.05,A,-130,135,140,140,81kgMen,CleanJerk,456,False
