rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
3,BARDALEZ TUISIMA Luis David,PER,"Oct 03, 1995",66.75,A,-121,121,124,124,69kgMen,Snatch,430,True
4,DIAS DE CARVALHO Vinicius,BRA,"Sep 29, 1998",68.95,A,-116,-116,121,121,69kgMen,Snatch,430,True
5,JIMENES Nahuel Carlos Daniel,ARG,"Jun 21, 1996",68.05,A,114,117,-120,117,69kgMen,Snatch,430,True
6,MERINO LARA Jairo Paul,ECU,"Jul 19, 1997",68.25,A,-116,116,-121,116,69kgMen,Snatch,430,True
7,SALDIAS MOZOMBITE Neyer Edson,BOL,"Oct 13, 1991",67.00,A,105,-110,110,110,69kgMen,Snatch,430,True
8,MURGA Lionel,BOL,"Mar 19, 1993",68.30,A,85,-90,90,90,69kgMen,Snatch,430,True
1,MAYORA PERNIA Julio Ruben,VEN,"Sep 02, 1996",68.45,A,170,180,-182,180,69kgMen,CleanJerk,430,True
2,DIAS DE CARVALHO Vinicius,BRA,"Sep 29, 1998",68.95,A,153,-158,163,163,69kgMen,CleanJerk,430,True
3,MERINO LARA Jairo Paul,ECU,"Jul 19, 1997",68.25,A,155,160,-169,160,69kgMen,CleanJerk,430,True
4,TERRONES MIRANDA Oscar Adrian,PER,"Jan 23, 1998",68.15,A,-155,155,159,159,69kgMen,CleanJerk,430,True
5,BARDALEZ TUISIMA Luis David,PER,"Oct 03, 1995",66.75,A,153,156,159,159,69kgMen,CleanJerk,430,True
6,JIMENES Nahuel Carlos Daniel,ARG,"Jun 21, 1996",68.05,A,140,150,-154,150,69kgMen,CleanJerk,430,True
7,SALDIAS MOZOMBITE Neyer Edson,BOL,"Oct 13, 1991",67.00,A,130,137,-142,137,69kgMen,CleanJerk,430,True
8,MURGA Lionel,BOL,"Mar 19, 1993",68.30,A,100,105,-110,105,69kgMen,CleanJerk,430,True
1,MAYORA PERNIA Julio Ruben,VEN,"Sep 02, 1996",68.45,A,145,180,325,,69kgMen,Total,430,True
2,TERRONES MIRANDA Oscar Adrian,PER,"Jan 23, 1998",68.15,A,126,159,285,,69kgMen,Total,430,True
3,DIAS DE CARVALHO Vinicius,BRA,"Sep 29, 1998",68.95,A,121,163,284,,69kgMen,Total,430,True
4,BARDALEZ TUISIMA Luis David,PER,"Oct 03, 1995",66.75,A,124,159,283,,69kgMen,Total,430,True
5,MERINO LARA Jairo Paul,ECU,"Jul 19, 1997",68.25,A,116,160,276,,69kgMen,Total,430,True
6,JIMENES Nahuel Carlos Daniel,ARG,"Jun 21, 1996",68.05,A,117,150,267,,69kgMen,Total,430,True
7,SALDIAS MOZOMBITE Neyer Edson,BOL,"Oct 13, 1991",67.00,A,110,137,247,,69kgMen,Total,430,True
8,MURGA Lionel,BOL,"Mar 19, 1993",68.30,A,90,105,195,,69kgMen,Total,430,True
1,MONTES HURTADO Hugo Fernando,COL,"Jan 29, 1990",76.60,A,150,157,-163,157,77kgMen,Snatch,430,True
