rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id
Rank: 15,POVEDA Brayan,BOL,"Born: Oct 27, 1993",B.weight: 55.69,Group: B,1: 87,2: 92,3: - 93,Total: 92,56kgMen,CleanJerk,239
Rank: ---,ZULHELMI Bin Md Pisol,MAS,"Born: Aug 22, 1993",B.weight: 56.00,Group: A,1: -128,2: -128,3: -128,Total: ---,56kgMen,CleanJerk,239
Rank: 1,WEI Xiameng,CHN,"Born: Jan 05, 1995",B.weight: 55.86,Group: A,Snatch: 105,CI&Jerk: 139,Total: 244,,56kgMen,Total,239
Rank: 2,SERNA MENDOZA Jhon Jairo,COL,"Born: Dec 03, 1994",B.weight: 55.81,Group: A,Snatch: 106,CI&Jerk: 137,Total: 243,,56kgMen,Total,239
Rank: 3,SAHIN Muammer,TUR,"Born: Feb 05, 1994",B.weight: 55.94,Group: A,Snatch: 107,CI&Jerk: 126,Total: 233,,56kgMen,Total,239
Rank: 4,CHETIA Apurba,IND,"Born: May 06, 1994",B.weight: 55.98,Group: A,Snatch: 102,CI&Jerk: 127,Total: 229,,56kgMen,Total,239
Rank: 5,ROJAS CONCHA Marcos Antonio,PER,"Born: Jun 02, 1995",B.weight: 55.58,Group: A,Snatch: 96,CI&Jerk: 132,Total: 228,,56kgMen,Total,239
Rank: 6,ALBACHACHI Ali Ahmed Abd Ali,IRQ,"Born: Apr 23, 1994",B.weight: 54.33,Group: A,Snatch: 101,CI&Jerk: 126,Total: 227,,56kgMen,Total,239
Rank: 7,MUHAMAD Aznil Bin Bidin,MAS,"Born: Jun 04, 1994",B.weight: 55.82,Group: A,Snatch: 100,CI&Jerk: 127,Total: 227,,56kgMen,Total,239
Rank: 8,BERIS ESCALONA Eduar Jose,VEN,"Born: May 29, 1993",B.weight: 55.94,Group: B,Snatch: 97,CI&Jerk: 122,Total: 219,,56kgMen,Total,239
Rank: 9,HIRAI Hayato,JPN,"Born: Aug 08, 1994",B.weight: 55.99,Group: B,Snatch: 98,CI&Jerk: 118,Total: 216,,56kgMen,Total,239
Rank: 10,GARCIA BRITO Luis Alberto,DOM,"Born: Apr 19, 1995",B.weight: 53.80,Group: B,Snatch: 96,CI&Jerk: 118,Total: 214,,56kgMen,Total,239
