rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
1,PIZZOLATO Antonino,ITA,"Aug 20, 1996",88.15,A,170,172,---,172,89kgMen,Snatch,548,False
2,ABOKAHLA Karim Ibrahim Ibrahim Ali,EGY,"Nov 11, 1996",88.90,A,160,165,171,171,89kgMen,Snatch,548,False
3,TOUAIRI Faris,ALG,"Jun 11, 1999",87.50,A,161,-166,-166,161,89kgMen,Snatch,548,False
4,IAKOVIDIS Theodoros,GRE,"Feb 12, 1991",88.55,A,152,157,-161,157,89kgMen,Snatch,548,False
5,ERDOGDU Celil,TUR,"Dec 05, 1997",85.70,A,153,-158,-158,153,89kgMen,Snatch,548,False
6,MARTASIDIS Antonis,CYP,"Jun 14, 1992",88.85,A,145,150,-153,150,89kgMen,Snatch,548,False
7,ALAJEEMI Omar Mohammed Alhadi,LBA,"Jul 25, 1999",87.95,A,138,144,148,148,89kgMen,Snatch,548,False
8,LISTE VIANO Martin,ESP,"Jun 11, 1996",88.80,A,-145,145,-151,145,89kgMen,Snatch,548,False
9,VAUTARD Brandon Robert Jean,FRA,"Sep 09, 1996",88.30,A,135,-140,140,140,89kgMen,Snatch,548,False
1,PIZZOLATO Antonino,ITA,"Aug 20, 1996",88.15,A,-210,210,213,213,89kgMen,CleanJerk,548,False
2,ABOKAHLA Karim Ibrahim Ibrahim Ali,EGY,"Nov 11, 1996",88.90,A,202,212,-214,212,89kgMen,CleanJerk,548,False
3,VAUTARD Brandon Robert Jean,FRA,"Sep 09, 1996",88.30,A,190,192,-200,192,89kgMen,CleanJerk,548,False
4,MARTASIDIS Antonis,CYP,"Jun 14, 1992",88.85,A,185,-191,191,191,89kgMen,CleanJerk,548,False
5,ALAJEEMI Omar Mohammed Alhadi,LBA,"Jul 25, 1999",87.95,A,175,-183,185,185,89kgMen,CleanJerk,548,False
6,IAKOVIDIS Theodoros,GRE,"Feb 12, 1991",88.55,A,183,-191,-191,183,89kgMen,CleanJerk,548,False
7,LISTE VIANO Martin,ESP,"Jun 11, 1996",88.80,A,-175,-175,175,175,89kgMen,CleanJerk,548,False
