rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
11,BAHAROM Mohd Faizal,MAS,"Jan 04, 1982",55.32,B,110,140,250.0,,56kgMen,Total,3,True
12,GRABUCEA Igor,MDA,"Apr 29, 1976",55.37,A,112,137,249.0,,56kgMen,Total,3,True
13,CASTELLANO Victor,VEN,"Mar 23, 1976",55.95,B,109,137,246.0,,56kgMen,Total,3,True
14,BATTA Vicky,IND,"Apr 09, 1981",55.99,B,107,127,234.0,,56kgMen,Total,3,True
15,GANESAN Veerabadran,IND,"Apr 10, 1979",55.25,B,100,132,232.0,,56kgMen,Total,3,True
16,KOUM KOUM Daniel Ebenezer,CMR,"May 27, 1985",55.76,B,102,125,227.0,,56kgMen,Total,3,True
17,ADAM Robert,HUN,"Sep 15, 1982",55.79,B,100,120,220.0,,56kgMen,Total,3,True
---,HANDURDYYEV Omarguly,TKM,"Dec 17, 1988",51.26,B,---,95,---,,56kgMen,Total,3,True
1,ZHANG Ping,CHN,"Aug 21, 1979",61.82,A,135,142,145,145,62kgMen,Snatch,3,True
2,QIU Le,CHN,"Feb 26, 1983",61.14,A,135,141,144,144,62kgMen,Snatch,3,True
3,JIGAU Adrian Ioan,ROU,"Jan 06, 1970",61.93,A,127,131,133,133,62kgMen,Snatch,3,True
4,BAZARBAYEV Umurbek,TKM,"Sep 17, 1981",61.36,A,130,-133,-133,130,62kgMen,Snatch,3,True
5,YANG Sheng Hsiung,TPE,"Jun 01, 1983",61.29,A,123,-126,126,126,62kgMen,Snatch,3,True
6,ANGELOV Sevdalin,BUL,"Jul 25, 1974",61.94,A,-125,125,-131,125,62kgMen,Snatch,3,True
7,GOEGEBUER Tom Richard,BEL,"Mar 27, 1975",61.02,A,118,123,-126,123,62kgMen,Snatch,3,True
8,MINGINFEL Manuel,FSM,"Sep 28, 1978",61.32,A,115,120,123,123,62kgMen,Snatch,3,True
9,HUDAYBERGENOV Tolkunbek,TKM,"Jan 04, 1986",61.23,B,115,121,-125,121,62kgMen,Snatch,3,True
10,VELICIU Ioan Forin,ROU,"Aug 25, 1985",61.80,B,112,116,-120,116,62kgMen,Snatch,3,True
11,GROULX Sebastien,CAN,"Oct 29, 1974",61.92,B,112,-116,-116,112,62kgMen,Snatch,3,True
12,SANGOV Nizom,TJK,"Jun 26, 1983",61.80,B,100,105,-107,105,62kgMen,Snatch,3,True
13,ANDRIANTSIRY Charles,MAD,"Mar 11, 1980",61.90,B,90,95,100,100,62kgMen,Snatch,3,True
14,KATAMBA Ismail,UGA,"Jan 19, 1987",60.57,B,90,- 95,- 95,90,62kgMen,Snatch,3,True
---,CURBELO Adan A. Rosales,CUB,"Dec 31, 1977",61.69,A,-125,-125,-125,---,62kgMen,Snatch,3,True
---,HAMIDUL Islam,BAN,"Jun 03, 1973",61.96,B,-110,-110,-110,---,62kgMen,Snatch,3,True
---,MARTIN RUBIO Manuel Dario,ESP,"May 11, 1977",61.98,-115,-115,-115,---,,62kgMen,Snatch,3,True
DSQ,ALYAZIDI Salah Mohammed N,QAT,"Aug 27, 1986",58.81,B,70,75,- 80,---,62kgMen,Snatch,3,True
1,QIU Le,CHN,"Feb 26, 1983",61.14,A,166,171,178,178,62kgMen,CleanJerk,3,True
2,ZHANG Ping,CHN,"Aug 21, 1979",61.82,A,166,170,-173,170,62kgMen,CleanJerk,3,True
3,CURBELO Adan A. Rosales,CUB,"Dec 31, 1977",61.69,A,166,-169,-171,166,62kgMen,CleanJerk,3,True
4,ANGELOV Sevdalin,BUL,"Jul 25, 1974",61.94,A,155,162,-168,162,62kgMen,CleanJerk,3,True
5,YANG Sheng Hsiung,TPE,"Jun 01, 1983",61.29,A,155,160,-166,160,62kgMen,CleanJerk,3,True
6,JIGAU Adrian Ioan,ROU,"Jan 06, 1970",61.93,A,156,159,-162,159,62kgMen,CleanJerk,3,True
7,MINGINFEL Manuel,FSM,"Sep 28, 1978",61.32,A,150,157,-162,157,62kgMen,CleanJerk,3,True
8,BAZARBAYEV Umurbek,TKM,"Sep 17, 1981",61.36,A,150,156,-162,156,62kgMen,CleanJerk,3,True
9,HUDAYBERGENOV Tolkunbek,TKM,"Jan 04, 1986",61.23,B,145,151,---,151,62kgMen,CleanJerk,3,True
10,GOEGEBUER Tom Richard,BEL,"Mar 27, 1975",61.02,A,145,149,-153,149,62kgMen,CleanJerk,3,True
11,GROULX Sebastien,CAN,"Oct 29, 1974",61.92,B,142,145,-151,145,62kgMen,CleanJerk,3,True
12,VELICIU Ioan Forin,ROU,"Aug 25, 1985",61.80,B,130,140,-143,140,62kgMen,CleanJerk,3,True
13,ANDRIANTSIRY Charles,MAD,"Mar 11, 1980",61.90,B,-135,135,140,140,62kgMen,CleanJerk,3,True
14,HAMIDUL Islam,BAN,"Jun 03, 1973",61.96,B,-138,-138,138,138,62kgMen,CleanJerk,3,True
15,KATAMBA Ismail,UGA,"Jan 19, 1987",60.57,B,120,-130,-131,120,62kgMen,CleanJerk,3,True
16,SANGOV Nizom,TJK,"Jun 26, 1983",61.80,B,115,118,-122,118,62kgMen,CleanJerk,3,True
---,MARTIN RUBIO Manuel Dario,ESP,"May 11, 1977",61.98,---,---,---,---,,62kgMen,CleanJerk,3,True
DSQ,ALYAZIDI Salah Mohammed N,QAT,"Aug 27, 1986",58.81,B,90,95,- 97,---,62kgMen,CleanJerk,3,True
1,QIU Le,CHN,"Feb 26, 1983",61.14,A,144,178,322.0,,62kgMen,Total,3,True
2,ZHANG Ping,CHN,"Aug 21, 1979",61.82,A,145,170,315.0,,62kgMen,Total,3,True
3,JIGAU Adrian Ioan,ROU,"Jan 06, 1970",61.93,A,133,159,292.0,,62kgMen,Total,3,True
4,ANGELOV Sevdalin,BUL,"Jul 25, 1974",61.94,A,125,162,287.0,,62kgMen,Total,3,True
5,YANG Sheng Hsiung,TPE,"Jun 01, 1983",61.29,A,126,160,286.0,,62kgMen,Total,3,True
6,BAZARBAYEV Umurbek,TKM,"Sep 17, 1981",61.36,A,130,156,286.0,,62kgMen,Total,3,True
7,MINGINFEL Manuel,FSM,"Sep 28, 1978",61.32,A,123,157,280.0,,62kgMen,Total,3,True
8,GOEGEBUER Tom Richard,BEL,"Mar 27, 1975",61.02,A,123,149,272.0,,62kgMen,Total,3,True
9,HUDAYBERGENOV Tolkunbek,TKM,"Jan 04, 1986",61.23,B,121,151,272.0,,62kgMen,Total,3,True
10,GROULX Sebastien,CAN,"Oct 29, 1974",61.92,B,112,145,257.0,,62kgMen,Total,3,True
11,VELICIU Ioan Forin,ROU,"Aug 25, 1985",61.80,B,116,140,256.0,,62kgMen,Total,3,True
12,ANDRIANTSIRY Charles,MAD,"Mar 11, 1980",61.90,B,100,140,240.0,,62kgMen,Total,3,True
13,SANGOV Nizom,TJK,"Jun 26, 1983",61.80,B,105,118,223.0,,62kgMen,Total,3,True
14,KATAMBA Ismail,UGA,"Jan 19, 1987",60.57,B,90,120,210.0,,62kgMen,Total,3,True
---,CURBELO Adan A. Rosales,CUB,"Dec 31, 1977",61.69,A,---,166,---,,62kgMen,Total,3,True
---,HAMIDUL Islam,BAN,"Jun 03, 1973",61.96,B,---,138,---,,62kgMen,Total,3,True
---,MARTIN RUBIO Manuel Dario,ESP,"May 11, 1977",61.98,---,---,---,,,62kgMen,Total,3,True
