rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
5,SANGOV Nizom,TJK,"Jun 26, 1983",67.40,A,120,135,255,,69kgMen,Total,142,True
6,PARK Sang-Min,KOR,"Apr 26, 1992",64.76,A,110,130,240,,69kgMen,Total,142,True
---,KIM Kum Sok,PRK,"Aug 19, 1987",68.88,A,136,---,---,,69kgMen,Total,142,True
---,REZAEIAN Morteza,IRI,"Jun 14, 1989",68.74,A,141,---,---,,69kgMen,Total,142,True
---,ADHIKARI Kamal Bahadur,NEP,"Jul 20, 1977",67.52,A,---,140,---,,69kgMen,Total,142,True
DSQ,VIDANAGE Chinthana Geetal Vidanage,SRI,"Dec 31, 1981",68.88,A,---,---,---,,69kgMen,Total,142,True
1,LYU Xiaojun,CHN,"Jul 27, 1984",76.48,A,160,-165,-165,160,77kgMen,Snatch,142,True
2,PAVLOV Kirill,KAZ,"Sep 13, 1986",75.84,A,143,147,150,150,77kgMen,Snatch,142,True
3,PANG Kum Chol,PRK,"Nov 11, 1981",76.76,A,-150,150,-160,150,77kgMen,Snatch,142,True
4,SHAUYETEYEV Dauren,KAZ,"Dec 22, 1987",76.30,A,143,-147,147,147,77kgMen,Snatch,142,True
5,TAKEICHI Itsuki,JPN,"Oct 12, 1987",76.44,A,130,135,138,138,77kgMen,Snatch,142,True
6,KYAW Moe Win,MYA,"Aug 15, 1989",70.30,A,130,-135,-135,130,77kgMen,Snatch,142,True
7,WU Tsung-Ling,TPE,"Jan 20, 1986",74.52,A,-130,130,-142,130,77kgMen,Snatch,142,True
8,PARK Jonggeol,KOR,"Mar 20, 1983",76.42,A,-130,130,-136,130,77kgMen,Snatch,142,True
9,ROY Manoranjan,BAN,"Jan 10, 1985",77.00,A,115,120,125,125,77kgMen,Snatch,142,True
10,CHIANG Nien-Peng,TPE,"Feb 25, 1989",76.52,A,-123,-123,123,123,77kgMen,Snatch,142,True
11,ALYAZIDI Salah Mohammed N,QAT,"Aug 27, 1986",74.60,A,70,75,80,80,77kgMen,Snatch,142,True
1,LYU Xiaojun,CHN,"Jul 27, 1984",76.48,A,-190,190,192,192,77kgMen,CleanJerk,142,True
2,PANG Kum Chol,PRK,"Nov 11, 1981",76.76,A,-186,186,191,191,77kgMen,CleanJerk,142,True
3,PAVLOV Kirill,KAZ,"Sep 13, 1986",75.84,A,180,185,-189,185,77kgMen,CleanJerk,142,True
4,SHAUYETEYEV Dauren,KAZ,"Dec 22, 1987",76.30,A,175,-184,-189,175,77kgMen,CleanJerk,142,True
5,CHIANG Nien-Peng,TPE,"Feb 25, 1989",76.52,A,165,174,-181,174,77kgMen,CleanJerk,142,True
6,KYAW Moe Win,MYA,"Aug 15, 1989",70.30,A,165,170,-172,170,77kgMen,CleanJerk,142,True
7,WU Tsung-Ling,TPE,"Jan 20, 1986",74.52,A,155,163,-167,163,77kgMen,CleanJerk,142,True
8,TAKEICHI Itsuki,JPN,"Oct 12, 1987",76.44,A,163,-168,-168,163,77kgMen,CleanJerk,142,True
9,PARK Jonggeol,KOR,"Mar 20, 1983",76.42,A,160,-170,---,160,77kgMen,CleanJerk,142,True
10,ROY Manoranjan,BAN,"Jan 10, 1985",77.00,A,140,145,152,152,77kgMen,CleanJerk,142,True
11,ALYAZIDI Salah Mohammed N,QAT,"Aug 27, 1986",74.60,A,95,100,105,105,77kgMen,CleanJerk,142,True
1,LYU Xiaojun,CHN,"Jul 27, 1984",76.48,A,160,192,352,,77kgMen,Total,142,True
2,PANG Kum Chol,PRK,"Nov 11, 1981",76.76,A,150,191,341,,77kgMen,Total,142,True
3,PAVLOV Kirill,KAZ,"Sep 13, 1986",75.84,A,150,185,335,,77kgMen,Total,142,True
4,SHAUYETEYEV Dauren,KAZ,"Dec 22, 1987",76.30,A,147,175,322,,77kgMen,Total,142,True
5,TAKEICHI Itsuki,JPN,"Oct 12, 1987",76.44,A,138,163,301,,77kgMen,Total,142,True
6,KYAW Moe Win,MYA,"Aug 15, 1989",70.30,A,130,170,300,,77kgMen,Total,142,True
7,CHIANG Nien-Peng,TPE,"Feb 25, 1989",76.52,A,123,174,297,,77kgMen,Total,142,True
8,WU Tsung-Ling,TPE,"Jan 20, 1986",74.52,A,130,163,293,,77kgMen,Total,142,True
9,PARK Jonggeol,KOR,"Mar 20, 1983",76.42,A,130,160,290,,77kgMen,Total,142,True
10,ROY Manoranjan,BAN,"Jan 10, 1985",77.00,A,125,152,277,,77kgMen,Total,142,True
11,ALYAZIDI Salah Mohammed N,QAT,"Aug 27, 1986",74.60,A,80,105,185,,77kgMen,Total,142,True
1,LU Yong,CHN,"Jan 01, 1986",84.85,A,167,-173,173,173,85kgMen,Snatch,142,True
2,ROSTAMI Kianoush,IRI,"Jul 23, 1991",84.06,A,157,162,-166,162,85kgMen,Snatch,142,True
3,KUZNETSOV Vladimir,KAZ,"Apr 21, 1984",84.76,A,-160,160,-165,160,85kgMen,Snatch,142,True
4,KIM Tae-Hwan,KOR,"Jan 01, 1987",84.70,A,-150,150,158,158,85kgMen,Snatch,142,True
5,MORADI Sohrab,IRI,"Sep 22, 1988",84.56,A,151,-157,157,157,85kgMen,Snatch,142,True
6,CHASHEMOV Mamsurbek,UZB,"Jun 22, 1983",82.96,A,-153,-153,153,153,85kgMen,Snatch,142,True
7,YUSUPOV Sherzodjon,UZB,"Oct 10, 1982",81.40,A,-135,135,-145,135,85kgMen,Snatch,142,True
1,LU Yong,CHN,"Jan 01, 1986",84.85,A,200,205,212,212,85kgMen,CleanJerk,142,True
2,ROSTAMI Kianoush,IRI,"Jul 23, 1991",84.06,A,193,198,201,201,85kgMen,CleanJerk,142,True
3,KUZNETSOV Vladimir,KAZ,"Apr 21, 1984",84.76,A,190,-196,-201,190,85kgMen,CleanJerk,142,True
4,CHASHEMOV Mamsurbek,UZB,"Jun 22, 1983",82.96,A,-178,178,184,184,85kgMen,CleanJerk,142,True
5,KIM Tae-Hwan,KOR,"Jan 01, 1987",84.70,A,182,-192,-192,182,85kgMen,CleanJerk,142,True
6,YUSUPOV Sherzodjon,UZB,"Oct 10, 1982",81.40,A,170,180,-190,180,85kgMen,CleanJerk,142,True
7,MORADI Sohrab,IRI,"Sep 22, 1988",84.56,A,180,-190,-193,180,85kgMen,CleanJerk,142,True
1,LU Yong,CHN,"Jan 01, 1986",84.85,A,173,212,385,,85kgMen,Total,142,True
2,ROSTAMI Kianoush,IRI,"Jul 23, 1991",84.06,A,162,201,363,,85kgMen,Total,142,True
3,KUZNETSOV Vladimir,KAZ,"Apr 21, 1984",84.76,A,160,190,350,,85kgMen,Total,142,True
4,KIM Tae-Hwan,KOR,"Jan 01, 1987",84.70,A,158,182,340,,85kgMen,Total,142,True
5,CHASHEMOV Mamsurbek,UZB,"Jun 22, 1983",82.96,A,153,184,337,,85kgMen,Total,142,True
6,MORADI Sohrab,IRI,"Sep 22, 1988",84.56,A,157,180,337,,85kgMen,Total,142,True
7,YUSUPOV Sherzodjon,UZB,"Oct 10, 1982",81.40,A,135,180,315,,85kgMen,Total,142,True
2,LI Bing,CHN,"Jan 01, 1990",94.00,A,-165,-165,165,165,94kgMen,Snatch,142,True
2,KIM Minjae,KOR,"Oct 13, 1983",93.80,A,165,173,178,178,94kgMen,Snatch,142,True
3,UTESHOV Almas,KAZ,"May 18, 1988",91.10,A,155,162,-167,162,94kgMen,Snatch,142,True
4,JUNG Hyeonseop,KOR,"Jun 18, 1985",93.40,A,-156,156,161,161,94kgMen,Snatch,142,True
5,NURUDINOV Ruslan,UZB,"Nov 24, 1991",91.66,A,-160,-160,160,160,94kgMen,Snatch,142,True
6,AHMEDOV Giyosiddin,UZB,"Apr 03, 1989",93.30,A,-145,-145,146,146,94kgMen,Snatch,142,True
DSQ,SEDOV Vladimir,KAZ,"Feb 03, 1988",92.50,A,172,177,180,---,94kgMen,Snatch,142,True
1,LI Bing,CHN,"Jan 01, 1990",94.00,A,210,213,220,220,94kgMen,CleanJerk,142,True
2,KIM Minjae,KOR,"Oct 13, 1983",93.80,A,200,-210,210,210,94kgMen,CleanJerk,142,True
3,JUNG Hyeonseop,KOR,"Jun 18, 1985",93.40,A,200,207,-212,207,94kgMen,CleanJerk,142,True
4,NURUDINOV Ruslan,UZB,"Nov 24, 1991",91.66,A,-200,-200,200,200,94kgMen,CleanJerk,142,True
5,UTESHOV Almas,KAZ,"May 18, 1988",91.10,A,-193,-193,193,193,94kgMen,CleanJerk,142,True
6,AHMEDOV Giyosiddin,UZB,"Apr 03, 1989",93.30,A,180,-185,-185,180,94kgMen,CleanJerk,142,True
DSQ,SEDOV Vladimir,KAZ,"Feb 03, 1988",92.50,A,-207,207,-211,---,94kgMen,CleanJerk,142,True
1,KIM Minjae,KOR,"Oct 13, 1983",93.80,A,178,210,388,,94kgMen,Total,142,True
2,LI Bing,CHN,"Jan 01, 1990",94.00,A,165,220,385,,94kgMen,Total,142,True
3,JUNG Hyeonseop,KOR,"Jun 18, 1985",93.40,A,161,207,368,,94kgMen,Total,142,True
4,NURUDINOV Ruslan,UZB,"Nov 24, 1991",91.66,A,160,200,360,,94kgMen,Total,142,True
5,UTESHOV Almas,KAZ,"May 18, 1988",91.10,A,162,193,355,,94kgMen,Total,142,True
6,AHMEDOV Giyosiddin,UZB,"Apr 03, 1989",93.30,A,146,180,326,,94kgMen,Total,142,True
DSQ,SEDOV Vladimir,KAZ,"Feb 03, 1988",92.50,A,---,---,---,,94kgMen,Total,142,True
1,YANG Zhe,CHN,"Jul 14, 1991",104.36,A,180,185,187,187,105kgMen,Snatch,142,True
2,ISTOMIN Sergey,KAZ,"Jan 24, 1986",104.36,A,175,181,-186,181,105kgMen,Snatch,142,True
3,JUGHELI Ahed,SYR,"Oct 10, 1982",104.36,A,-175,175,180,180,105kgMen,Snatch,142,True
4,MAJIDI Hamed,IRI,"Mar 21, 1988",104.32,A,165,-171,171,171,105kgMen,Snatch,142,True
5,KOPYTOV Stanislav,KAZ,"Jan 19, 1988",101.90,A,-170,-170,170,170,105kgMen,Snatch,142,True
6,DADVAND Yaser,IRI,"Jan 01, 1990",103.06,A,165,-172,-172,165,105kgMen,Snatch,142,True
7,ASAAD Kasem,SYR,"May 25, 1988",104.16,A,153,160,162,162,105kgMen,Snatch,142,True
8,NUCHPUM Khunchai,THA,"Oct 20, 1980",97.86,A,145,150,-155,150,105kgMen,Snatch,142,True
---,SHIRAISHI Hiroaki,JPN,"Oct 24, 1989",101.54,A,-140,-140,-140,---,105kgMen,Snatch,142,True
1,JUGHELI Ahed,SYR,"Oct 10, 1982",104.36,A,212,217,-224,217,105kgMen,CleanJerk,142,True
